标题,作者,来源,发表时间,文献类型
基于知识图谱嵌入的定义域值域约束补全方法,"[{'name': '雷景佩', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%9b%b7%e6%99%af%e4%bd%a9&scode=30844284&acode=30844284'}, {'name': '欧阳丹彤', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%ac%a7%e9%98%b3%e4%b8%b9%e5%bd%a4&scode=07669226&acode=07669226'}, {'name': '张立明', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%bc%a0%e7%ab%8b%e6%98%8e&scode=17514809&acode=17514809'}]",吉林大学学报(工学版),2021-03-18 15:24,期刊
煤矿装备维护知识图谱构建及应用,"[{'name': '曹现刚', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9b%b9%e7%8e%b0%e5%88%9a&scode=09096271&acode=09096271'}, {'name': '张梦园', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%bc%a0%e6%a2%a6%e5%9b%ad&scode=35786779&acode=35786779'}, {'name': '雷卓', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%9b%b7%e5%8d%93&scode=44898352&acode=44898352'}, {'name': '段欣宇', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%ae%b5%e6%ac%a3%e5%ae%87&scode=48756474&acode=48756474'}, {'name': '陈瑞昊', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e7%91%9e%e6%98%8a&scode=48756475&acode=48756475'}]",工矿自动化,2021-03-18 14:40,期刊
基于知识图谱的分布式光伏运维方案匹配方法,"[{'name': '欧一鸣', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%ac%a7%e4%b8%80%e9%b8%a3&scode=47084332&acode=47084332'}, {'name': '苏雍贺', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%8b%8f%e9%9b%8d%e8%b4%ba&scode=47084333&acode=47084333'}, {'name': '靳健', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%9d%b3%e5%81%a5&scode=31346095&acode=31346095'}, {'name': '倪玮晨', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%80%aa%e7%8e%ae%e6%99%a8&scode=36379329&acode=36379329'}, {'name': '陶飞', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%b6%e9%a3%9e&scode=23979587&acode=23979587'}]",计算机集成制造系统,2021-03-18 12:00,期刊
基于科学知识图谱的针灸专利计量可视化研究,"[{'name': '王福民', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e7%8e%8b%e7%a6%8f%e6%b0%91&scode=37533394&acode=37533394'}, {'name': '胡远樟', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%83%a1%e8%bf%9c%e6%a8%9f&scode=41154483&acode=41154483'}, {'name': '银子涵', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%93%b6%e5%ad%90%e6%b6%b5&scode=40303444&acode=40303444'}, {'name': '郭雨怡', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%83%ad%e9%9b%a8%e6%80%a1&scode=44259090&acode=44259090'}, {'name': '李智威', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e6%99%ba%e5%a8%81&scode=43579378&acode=43579378'}, {'name': '', 'href': None}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ae%8b%e5%ad%9d%e5%86%9b&scode=43454145&acode=43454145'}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e7%a8%8b%e5%b0%8f%e6%81%a9&scode=34964227&acode=34964227'}]",世界科学技术-中医药现代化,2021-03-18 10:43,期刊
LncRNA与疾病关系的知识图谱构建,"[{'name': '龚乐君', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%be%9a%e4%b9%90%e5%90%9b&scode=34511875&acode=34511875'}, {'name': '杨璐', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%a8%e7%92%90&scode=36280603&acode=36280603'}, {'name': '高志宏', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%ab%98%e5%bf%97%e5%ae%8f&scode=33191483&acode=33191483'}, {'name': '李华康', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e5%8d%8e%e5%ba%b7&scode=30773842&acode=30773842'}]",山东大学学报(工学版),2021-03-18 07:57,期刊
基于Citespace的失能老年人照护研究热点及趋势分析,"[{'name': '吴宗辉', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%90%b4%e5%ae%97%e8%be%89&scode=10731270&acode=10731270'}, {'name': '苟翠萍', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%8b%9f%e7%bf%a0%e8%90%8d&scode=48737086&acode=48737086'}, {'name': '李家聘', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e5%ae%b6%e8%81%98&scode=43605104&acode=43605104'}, {'name': '戴丽', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%88%b4%e4%b8%bd&scode=35406149&acode=35406149'}]",保健医学研究与实践,2021-03-16 15:29,期刊
基于BERT的水稻表型知识图谱中关系抽取研究,"[{'name': '袁培森', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%a2%81%e5%9f%b9%e6%a3%ae&scode=31833256&acode=31833256'}, {'name': '李润隆', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e6%b6%a6%e9%9a%86&scode=42636124&acode=42636124'}, {'name': '王翀', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e7%8e%8b%e7%bf%80&scode=28755111&acode=28755111'}, {'name': '徐焕良', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%be%90%e7%84%95%e8%89%af&scode=14241691&acode=14241691'}]",农业机械学报,2021-03-16 11:32,期刊
1989—2018年国内作物连作障碍研究现状——基于CNKI的文献计量学分析和科学知识图谱研究,"[{'name': '夏梅梅', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e5%a4%8f%e6%a2%85%e6%a2%85&scode=41142997&acode=41142997'}, {'name': '钟宛凌', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e9%92%9f%e5%ae%9b%e5%87%8c&scode=37906843&acode=37906843'}, {'name': '欧阳里山', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e6%ac%a7%e9%98%b3%e9%87%8c%e5%b1%b1&scode=43180906&acode=43180906'}, {'name': '孙志蓉', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ad%99%e5%bf%97%e8%93%89&scode=06436433&acode=06436433'}, {'name': '张子龙', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e5%bc%a0%e5%ad%90%e9%be%99&scode=17441430&acode=17441430'}]",农学学报,2021-03-16,期刊
信息组织4.0时代智慧化知识组织的知识协同服务,"[{'name': '林晓欣', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9e%97%e6%99%93%e6%ac%a3&scode=33806502&acode=33806502'}]",图书馆,2021-03-15 11:07,期刊
基于知识图谱的医疗管理研究可视化计量分析,"[{'name': '张富程', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e5%bc%a0%e5%af%8c%e7%a8%8b&scode=45195908&acode=45195908'}]",中国医疗管理科学,2021-03-15,期刊
基于知识图谱的我国国际陆港研究综述,"[{'name': '张晟义', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e5%bc%a0%e6%99%9f%e4%b9%89&scode=21034701&acode=21034701'}, {'name': '陈明月', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e6%98%8e%e6%9c%88&scode=46091676&acode=46091676'}]",湖北经济学院学报,2021-03-15,期刊
基于多任务学习的短文本实体链接方法,"[{'name': '詹飞', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%a9%b9%e9%a3%9e&scode=42297116&acode=42297116'}, {'name': '朱艳辉', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9c%b1%e8%89%b3%e8%be%89&scode=11283028&acode=11283028'}, {'name': '梁文桐', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%a2%81%e6%96%87%e6%a1%90&scode=42297115&acode=42297115'}, {'name': '张旭', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%bc%a0%e6%97%ad&scode=45053852&acode=45053852'}, {'name': '欧阳康', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%ac%a7%e9%98%b3%e5%ba%b7&scode=48723290&acode=48723290'}, {'name': '', 'href': None}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ad%94%e4%bb%a4%e5%b7%8d&scode=48723291&acode=48723291'}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%bb%84%e9%9b%85%e6%b7%8b&scode=48723293&acode=48723293'}]",计算机工程,2021-03-12 16:41,期刊
基于CiteSpace的我国绿色生态网络研究热点与趋势,"[{'name': '韦宝婧', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%9f%a6%e5%ae%9d%e5%a9%a7&scode=34674463&acode=34674463'}, {'name': '胡希军', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%83%a1%e5%b8%8c%e5%86%9b&scode=10066573&acode=10066573'}, {'name': '朱满乐', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9c%b1%e6%bb%a1%e4%b9%90&scode=44901411&acode=44901411'}, {'name': '彭琳玉', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%bd%ad%e7%90%b3%e7%8e%89&scode=48716516&acode=48716516'}, {'name': '徐凯恒', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%be%90%e5%87%af%e6%81%92&scode=48716517&acode=48716517'}]",经济地理,2021-03-12 10:01,期刊
国内城镇开发边界研究进展的知识图谱——基于中国知网（1996—2019）数据,"[{'name': '黄世鑫', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%bb%84%e4%b8%96%e9%91%ab&scode=27657544&acode=27657544'}, {'name': '蔡云楠', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%94%a1%e4%ba%91%e6%a5%a0&scode=33514503&acode=33514503'}]",热带地理,2021-03-12 09:53,期刊
TransPath:一种基于深度迁移强化学习的知识推理方法,"[{'name': '崔员宁', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%b4%94%e5%91%98%e5%ae%81&scode=43931005&acode=43931005'}, {'name': '李静', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e9%9d%99&scode=08725881&acode=08725881'}, {'name': '陈琰', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e7%90%b0&scode=30497703&acode=30497703'}, {'name': '陆正嘉', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%86%e6%ad%a3%e5%98%89&scode=32474615&acode=32474615'}]",小型微型计算机系统,2021-03-19 15:00,期刊
基于知识图谱的长江流域内地表蒸散研究进展,"[{'name': '季永月', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ad%a3%e6%b0%b8%e6%9c%88&scode=44514363&acode=44514363'}, {'name': '陈吉龙', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e5%90%89%e9%be%99&scode=33244603&acode=33244603'}, {'name': '唐青青', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%94%90%e9%9d%92%e9%9d%92&scode=48763969&acode=48763969'}, {'name': '吴胜军', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%90%b4%e8%83%9c%e5%86%9b&scode=33234781&acode=33234781'}, {'name': '晏黎明', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%99%8f%e9%bb%8e%e6%98%8e&scode=21118445&acode=21118445'}, {'name': '', 'href': None}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%b0%ad%e5%a4%a7%e6%98%8e&scode=35052161&acode=35052161'}]",水资源保护,2021-03-19 14:32,期刊
村规民约研究热点及未来展望,"[{'name': '赵银红', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e8%b5%b5%e9%93%b6%e7%ba%a2&scode=22418064&acode=22418064'}, {'name': '闫萍', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e9%97%ab%e8%90%8d&scode=48435357&acode=48435357'}]",石家庄学院学报,2021-03-19,期刊
基于CiteSpace的国内夜间灯光数据研究知识图谱分析,"[{'name': '曾冰', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9b%be%e5%86%b0&scode=35340566&acode=35340566'}]",测绘与空间地理信息,2021-03-19,期刊
社会网络分析在教育领域的应用,"[{'name': '宋佳益', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ae%8b%e4%bd%b3%e7%9b%8a&scode=48764963&acode=48764963'}]",科技风,2021-03-19,期刊
An ontology-based deep learning approach for triple classification with out-of-knowledge-base entities,"[{'name': 'Amador-Domínguez Elvira;Serrano Emilio;Manrique Daniel;Hohenecker Patrick;Lukasiewicz Thomas', 'href': '#'}]",Information Sciences,2021-03-19,外文期刊
基于知识图谱嵌入的定义域值域约束补全方法,"[{'name': '雷景佩', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%9b%b7%e6%99%af%e4%bd%a9&scode=30844284&acode=30844284'}, {'name': '欧阳丹彤', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%ac%a7%e9%98%b3%e4%b8%b9%e5%bd%a4&scode=07669226&acode=07669226'}, {'name': '张立明', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%bc%a0%e7%ab%8b%e6%98%8e&scode=17514809&acode=17514809'}]",吉林大学学报(工学版),2021-03-18 15:24,期刊
煤矿装备维护知识图谱构建及应用,"[{'name': '曹现刚', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9b%b9%e7%8e%b0%e5%88%9a&scode=09096271&acode=09096271'}, {'name': '张梦园', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%bc%a0%e6%a2%a6%e5%9b%ad&scode=35786779&acode=35786779'}, {'name': '雷卓', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%9b%b7%e5%8d%93&scode=44898352&acode=44898352'}, {'name': '段欣宇', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%ae%b5%e6%ac%a3%e5%ae%87&scode=48756474&acode=48756474'}, {'name': '陈瑞昊', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e7%91%9e%e6%98%8a&scode=48756475&acode=48756475'}]",工矿自动化,2021-03-18 14:40,期刊
基于知识图谱的分布式光伏运维方案匹配方法,"[{'name': '欧一鸣', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%ac%a7%e4%b8%80%e9%b8%a3&scode=47084332&acode=47084332'}, {'name': '苏雍贺', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%8b%8f%e9%9b%8d%e8%b4%ba&scode=47084333&acode=47084333'}, {'name': '靳健', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%9d%b3%e5%81%a5&scode=31346095&acode=31346095'}, {'name': '倪玮晨', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%80%aa%e7%8e%ae%e6%99%a8&scode=36379329&acode=36379329'}, {'name': '陶飞', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%b6%e9%a3%9e&scode=23979587&acode=23979587'}]",计算机集成制造系统,2021-03-18 12:00,期刊
基于科学知识图谱的针灸专利计量可视化研究,"[{'name': '王福民', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e7%8e%8b%e7%a6%8f%e6%b0%91&scode=37533394&acode=37533394'}, {'name': '胡远樟', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%83%a1%e8%bf%9c%e6%a8%9f&scode=41154483&acode=41154483'}, {'name': '银子涵', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%93%b6%e5%ad%90%e6%b6%b5&scode=40303444&acode=40303444'}, {'name': '郭雨怡', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%83%ad%e9%9b%a8%e6%80%a1&scode=44259090&acode=44259090'}, {'name': '李智威', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e6%99%ba%e5%a8%81&scode=43579378&acode=43579378'}, {'name': '', 'href': None}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ae%8b%e5%ad%9d%e5%86%9b&scode=43454145&acode=43454145'}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e7%a8%8b%e5%b0%8f%e6%81%a9&scode=34964227&acode=34964227'}]",世界科学技术-中医药现代化,2021-03-18 10:43,期刊
LncRNA与疾病关系的知识图谱构建,"[{'name': '龚乐君', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%be%9a%e4%b9%90%e5%90%9b&scode=34511875&acode=34511875'}, {'name': '杨璐', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%a8%e7%92%90&scode=36280603&acode=36280603'}, {'name': '高志宏', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%ab%98%e5%bf%97%e5%ae%8f&scode=33191483&acode=33191483'}, {'name': '李华康', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e5%8d%8e%e5%ba%b7&scode=30773842&acode=30773842'}]",山东大学学报(工学版),2021-03-18 07:57,期刊
基于Citespace的失能老年人照护研究热点及趋势分析,"[{'name': '吴宗辉', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%90%b4%e5%ae%97%e8%be%89&scode=10731270&acode=10731270'}, {'name': '苟翠萍', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%8b%9f%e7%bf%a0%e8%90%8d&scode=48737086&acode=48737086'}, {'name': '李家聘', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e5%ae%b6%e8%81%98&scode=43605104&acode=43605104'}, {'name': '戴丽', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%88%b4%e4%b8%bd&scode=35406149&acode=35406149'}]",保健医学研究与实践,2021-03-16 15:29,期刊
